AUTHOR	UUIDS	PMIDS	PI	NUMPAPERS
Adorni R	2bef52d3-35e9-33b7-9409-a0a8c2ce988d	19754932	1	1
Adriani M	ac4ceb42-77b8-3b2b-afcf-d5603d1160e7	22047967	0	1
Adrover-Roig D	d6f5a1e1-7f61-3e0d-bc8f-fa6831479abc	19837173,22564481	0	2
Aerni A	b7fa0ee6-7449-39fc-8221-caa30201112f	18423780	0	1
Aerts J	754db455-207b-3fdf-8bf0-60bd86e1b161	10908189	0	1
Aertsen A	3ecb50f8-5fcc-37b3-abd5-e92c86c3874d	19264143	0	1
Afifi L	fa387f51-020c-3380-8cde-9b6bc5b22d96	22921709	0	1
Afshin-Pour B	e8d2d101-6839-3030-90fc-f6676d64eb21	19789183	0	1
Agam G	dd4cf43a-026e-3dd6-ae3f-b1bf9f743dd4	19341801	0	1
Agam Y	5b47a9ff-c751-3da6-a505-644e7cd8f252	20394829,21980405	0	2
Agartz I	b01c6475-b967-3f80-b80c-8a6b124cb5da	23778236,23437284	0	2
Agato A	0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	22154406,22251836	1	2
Aggarwal M	d4a0fefb-b4d6-3474-bf76-58e822511f0b	22342677	0	1
Agid Y	57d23427-16dd-3895-9bcd-f788b4473bd1	12507947	0	1
Aglioti SM	671cac9a-6b75-38fc-85f7-391a919e7698	15728741,21316376,22541026,21391262,18783380,22807311,21906686	1	7
Agnew JA	ed70a950-317e-34f0-8a92-2b45808e69a4	15110019,19288462	0	2
Agnew ZK	48fb22e8-e09e-3477-be08-651d7ccb3a1c	22982103,22505995	0	2
Agosta F	4cf0b550-1b25-3c91-bc1c-edf84e163765	19135155,19022856,22099855,22887824,16933299,19853590,20597976,21813210,21368084,22608240,16767772,17370339,21074899	0	13
Aguilar A	b7e85431-852a-3f89-9cc3-7dc67fecedf1	15850737	0	1
Aguilar EJ	91bf7a7e-42a1-3f12-8c0e-fd0511b613a3	20071145,17184978	0	2
Aguirre GK	87134259-9985-3621-8241-404d2c731cb3	17346988,16423439,16303149	1	3
Ahad P	8edb41ef-1d2e-31d2-a34f-392260b36699	21192958	0	1
Aharon I	75a75a4e-8fe4-3231-a920-b84631daf736	16473449	0	1
Aharoni E	43f03ec7-63a5-36ef-88d9-ad69e815a332	23756137	0	1
Ahdab R	13076dc5-e6d9-3dcd-8cb3-fe09deb6bee8	20230933	0	1
Ahdidan J	8ca12b0c-60e4-334f-bb63-f7133ed3ebe1	20060048	1	1
Ahearn T	feb95a68-a836-3833-aa62-60b01b9d61cb	18579575,21482548,18537114	0	3
Ahlfors SP	bcf90b48-ea92-3022-921c-48c0f54764d1	18703146,16997580	1	2
Ahlgrimm N	1785a3ce-f155-3a7d-a08c-b4c9b0f32212	19619661	0	1
Ahlheim C	3a9dff92-a6f6-3acf-bdc2-7fb37b9095ae	22422724	0	1
Ahlstrom H	89fd0623-8526-3164-a9af-405fa9c68641	22290540	0	1
Ahlstrom JB	577aa714-f265-3168-92cf-2b04f2d36aff	19439585,21862447	0	2
Ahlstrom KR	65eaa10c-3bec-3571-9fb4-af3c02919ff8	16699081	0	1
Ahluwalia JS	64ef3c3a-071c-374d-ba50-d3db2c043399	15993629	0	1
Ahmad S	c904f627-3ea2-3b77-94a6-a0e7dfa64ee3	23416253	0	1
Ahmad Z	70ac1941-6ab4-32c1-aa0f-6632bb67a761	12599275	0	1
Ahmed	80f300f2-ebec-3ad8-ae38-6535e6d0ed42	21867758	0	1
Ahn JH	86958b6a-7c63-3f40-971c-91869bc0563b	20620213	0	1
Ahn SH	2ed94b55-b43d-32ae-8079-426ee49a8c20	19450657	0	1
Aholt A	0c521b1f-8fde-3509-b763-040383fb8db5	17208462	0	1
Ahonen J	06a85cdf-0a89-3712-a375-67593d589437	16459107	0	1
Ahonen T	25d521a8-fcd5-31cf-9979-db6b02d4c0c4	21418055	0	1
Ahrens K	0414117e-964b-391e-9818-3f9ddc2e3e21	16298426	0	1
Ahs F	df16ee00-3b45-3aca-8e15-e6690004a89e	19505585	0	1
Ahveninen J	7b551652-b021-31d4-95e1-140b460c9a83	23921102,22937153	1	2
Ai L	a7313737-25db-351b-91d7-7d9781ad2ee7	20452399,20932878	0	2
Aichhorn M	b3dadf28-48cf-3b83-8363-65e16a953d41	23380169,20550945,16337813	0	3
Aiello-Lammens M	f63bcab1-19e6-3653-a971-d980e116f322	17407825,18567621,18266215	0	3
Aihara Y	8e848122-5ce4-3f1d-bc76-447a9264654c	16490307,19028549	1	2
Aimola Davies AM	db5840ea-8d6b-30a1-b8a9-42555a5f7f7a	22445446	0	1
Ainslie G	abdb6582-211a-3394-85ae-076c7ef63f30	19940177,21856429,23160811,16944492	0	4
Aisen P	48257e2b-6aea-3400-96eb-daec6855a5f8	20570401	0	1
Aitken MR	3c3e73b9-7ace-312d-9944-2bf2b8442f3d	19741139,15572117	0	2
Aizawa E	778a8797-7f1b-3f74-b06e-6c0bab524a41	23675408	0	1
Aizenstein HJ	2da62a31-4121-3adb-8bbe-fc44fd999aba	20302947,16875759,16504345,19026710,14704217	0	5
Akahane-Yamada R	e0b95360-841a-3de9-bfed-bf25c62a3fd0	15219590	1	1
Akatsuka K	d2744630-bd6c-324d-a10a-7df51ef7624e	18585060,18234508	0	2
Akbudak E	f4f6e7e6-3a6f-3ae4-8d95-9f3a1fe58ece	11532889	0	1
Akerib V	9ac7180e-b77f-3c4d-998b-ac6354a92efc	18321537	0	1
Akeroyd MA	e600e4da-6f1d-3a51-a71e-bd8c4399e38c	11739262	0	1
Akhlaghi H	3b76552b-354e-3d62-be7f-b00d262fe5fb	22771856	0	1
Akhrif A	4821389d-0bf8-3336-875e-9445adf41cbb	23307487	0	1
Akiguchi I	10b01185-38b6-3cae-882f-bba8e5541e70	16904912	0	1
Akil H	0d4b2dc1-cea8-3b0f-ac1d-c1698f506fcb	17585888	0	1
Akimoto Y	d6c67a92-88f9-3779-b227-67df44627880	22796994,23408440,23555852	0	3
Akimova E	dd197149-e8e8-343b-abe3-a131a8ba902a	22828162	0	1
Akirav I	d1d0f863-dedf-3d5e-ae58-a1a9c02d8844	17502909	0	1
Akitsuki Y	481f47ad-d1a5-3fc2-8ae6-3c1a95d2d12b	18573266,18940230,16806977,19439183,23457592,16298427,16478667	1	7
Akiyama E	4b938bed-f108-3746-80a6-9a6d7f3cfdf5	20501484	1	1
Akiyama LF	20b7804f-0322-357f-a22a-451242a2789b	19710378	0	1
Akiyama T	482fd96a-8ed4-3ad3-b06f-a78e6ac3e05b	15955491	0	1
Akkal D	e7472ab0-b5e7-384d-9c83-144c540bd412	19101126	0	1
Akkerman E	2bf4b400-f63b-3309-bfaf-d238f60df9ad	19954931	0	1
Akrofi K	05ee706a-887a-3520-9810-a218364f6c01	24098513	0	1
Akshoomoff N	ef98cf60-c0cf-3584-9b1f-9a1e3f12d5c9	17336346	0	1
Akyurek EG	848d1d0d-4df8-304d-a3f5-3209a389eca3	20654634	0	1
Alabdullah M	115f3694-0471-339d-ad1a-0c9eed8935b5	18781591	0	1
Alahuhta S	275bb8f2-1bf4-30e4-bb84-ecff5721020f	18219620	0	1
Alahyane N	b6c67e93-71a7-346a-bc32-b7ce522248e1	22270353	0	1
Alain C	0db644f5-8e55-308c-9545-5128618daae5	15907316,17494060,21195187,19393323	1	4
Alameda JR	554c52e7-4cec-3ef2-a99d-7ea258b6e299	12881168	0	1
Alario FX	10e59278-77f4-3ff5-8141-44a620228ff5	20035884,16427099,16480694	1	3
Alary F	5ae695c0-e1ac-3cfb-9685-a814234fa258	18378266	0	1
Alavi A	697f68c5-5dae-3db0-b6ab-ba619edf6fb5	16084114	0	1
Albanese MC	6a673a3d-9e5f-3f24-bde4-49c1598d603f	15905031,22131304	1	2
Albarracin D	0b5d3beb-482e-37b5-92d9-c6b48f24c621	17950625	0	1
Alberoni M	7f5614c1-f764-3643-820d-411b4d9d8c45	20457166	0	1
