First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Michael 	Karin	Karin M	Biology & Biochemistry	University of California, San Diego, USA				8a9800d0-e5b2-4a52-8da4-0cba16e174e7
Donna 	Karolchik	Karolchik D	Biology & Biochemistry	University of California, Santa Cruz, USA				ef68b648-9e4c-477e-a936-6ee9168a2574
Peter D	Karp	Karp PD	Biology & Biochemistry	SRI Int, USA				087e6300-a4ce-4ba8-a98e-d9697cf3c2c7
Ilene 	Karsch-Mizrachi	Karsch-Mizrachi I	Biology & Biochemistry	NIH, USA				6c225065-3119-4239-927f-65ed98c986b2
Arek 	Kasprzyk	Kasprzyk A	Biology & Biochemistry	San Raffaele Scientific Institute (50%), Italy	King Abdulaziz University (50%), Saudi Arabia			29315199-9ce6-420e-826c-45d11d3cf86e
Randal J	Kaufman	Kaufman RJ	Biology & Biochemistry	Sanford Burnham Med Res Inst, USA				29257f30-9cc3-45c0-9126-75a60be49146
Jay D	Keasling	Keasling JD	Biology & Biochemistry	Joint Bioenergy Inst, USA	University of California, Berkeley, USA			8f276212-4867-4770-adcb-112c1d2dce1f
Damian 	Keefe	Keefe D	Biology & Biochemistry	European Bioinformat Inst, UK	Stanford University, USA			e19a0eb2-791b-4ba8-8872-8ef3fcc9a8cd
W James	Kent	Kent WJ	Biology & Biochemistry	University of California, Santa Cruz, USA				2d89047d-aa03-4eb3-87de-4ef73f796eb7
Daniel J	Klionsky	Klionsky DJ	Biology & Biochemistry	University of Michigan - Ann Arbor, USA				19070071-8aaa-45db-8a7a-302f885f9078
Brian K	Kobilka	Kobilka BK	Biology & Biochemistry	Stanford University, USA				97ed7bc7-f6f4-40b4-abe4-4084f966ab4b
Masaaki 	Komatsu	Komatsu M	Biology & Biochemistry	Tokyo Metropolitan Inst Med Sci, Japan				a051c90a-b3bd-486c-8074-5b6c6eb34f58
Eugene V	Koonin	Koonin EV	Biology & Biochemistry	NIH, USA				4159ff48-8096-4b04-ab7d-d24cdaab832f
Michael 	Kuhn	Kuhn M	Biology & Biochemistry	Dresden University of Technology, Germany		http://www.researcherid.com/rid/D-4978-2009	D-4978-2009	ceb8a8a4-655c-4b27-b585-d0fb7f68c038
Robert M	Kuhn	Kuhn RM	Biology & Biochemistry	University of California, Santa Cruz, USA				6f0186bb-dc5b-4873-9fb7-b36b0185fa26
Eugene 	Kulesha	Kulesha E	Biology & Biochemistry	European Bioinformat Inst, UK				d9a6efe9-c9e9-4fac-b82e-6dc47ab3ed72
Nikos C	Kyrpides	Kyrpides NC	Biology & Biochemistry	Joint Genome Institute, USA	King Abdulaziz University, Saudi Arabia			1e15312f-58ce-4bd8-9d0a-223a2f13ebd4
Eric S	Lander	Lander ES	Biology & Biochemistry	Broad Inst Harvard & MIT, USA	Massachusetts Institute of Technology (MIT), USA; Harvard University, USA			d0c33169-e9d6-4df7-be01-48d2516f9875
Petra S	Langendijk-Genevaux	Langendijk-Genevaux PS	Biology & Biochemistry	Paul Sabatier University (Toulouse 3), France				ddc7381c-3b51-4d8a-aeca-73366a9c17df
Ivica 	Letunic	Letunic I	Biology & Biochemistry	Biobyte Solut GmbH, Germany		http://www.researcherid.com/rid/A-6032-2009	A-6032-2009	ef07ab8a-e57c-4743-9ded-e8a19ce98fff
